"","tournament_competition","online","singleplayer","team_group_crew_squad","multiplayer","realistic_accurate","compete","licensed_content_video_games","enemy","battle","attack","defend","destroy_devastate_wreck","level_stage"
"612081",1,1,1,1,0,0,0,0,0,0,0,0,0,0
"616326",1,0,0,0,1,1,1,0,0,0,0,0,0,0
"624639",1,0,0,1,0,1,0,1,0,0,0,0,0,0
"625123",1,1,0,1,0,1,0,1,1,0,0,0,0,0
"626255",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"626302",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"627288",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"627462",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"630380",1,1,0,1,1,0,0,1,0,1,0,0,0,0
"630498",0,0,0,0,0,1,0,1,0,0,1,1,0,0
"632493",0,0,0,0,0,1,0,1,0,0,0,0,0,0
"997359",1,0,0,0,0,0,0,0,1,0,0,1,1,1
