"","tournament_competition","elite_the_best","fantasy","licensed","licensed_tournament","bike_motorbike","money","classic","equipment","united_states","story","famous","mountain","skill_technique","challenge","fast"
"928262",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"928296",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
"928316",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
"930852",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
