"","team_group_crew_squad","bike_motorbike","contest_match","hero","career","racetrack","licensed_tournament","ride","tournament_competition","licensed","destination_finish_line","athlete","car","crowd_audience_spectators","debris","social","race","off_road","obstacle","enemy","frantic","small_mini","train_railroads","vehicle","top_down_perspective","table_playing_area","chaos","spin_rotate","farming","fire_flame","shortcut","bomb","hammer","food","powerup_pickup","classic","crazy_wacky","rail","dinosaur","kitchen","arcade","gun"
"739660",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799987",0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"872798",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"887306",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
