"","strategy_tactics","recruit","combat","conquer","explode_blast","destroy_devastate_wreck","shoot","defeat","defend","attack","fly"
"671116",1,1,1,1,0,0,0,0,0,0,0
"672368",0,0,0,0,1,1,1,1,1,1,1
