"","battle","grid","place_position","symbol_icon","army","confront","x3d","attack","city","turn_alternate","puzzle","manage","collect_gather","death","money","enemy","build_construct","territory","match_link_couple","family","demon_devil","minion","girl_woman","underground","famous","journey","nobility_lord_count_baron","playing_cards","licensed_content_video_games","hunt","dangerous","story","deception_trickery","online","monk_priest_devotee","soldier","multiplayer","warrior","ghost","magic","eccentric","skeleton_skull","scary_terrifying_horror","samurai","heaven","capture","animal","strategy_tactics","lush"
"611752",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998291",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
