"","romance_love","confront","robot","city","rescue","survive","scary_terrifying_horror","police","decide_choose","story","apocalypse","zombie"
"640836",1,1,1,1,1,0,0,0,0,0,0,0
"691380",0,0,0,0,0,1,1,1,1,1,1,1
