"","tournament_competition","city","realistic_accurate","licensed_content_cultural_products","licensed_content_video_games","action","weapon","enemy","fast","mission"
"933059",1,0,0,0,0,0,0,0,0,0
"935644",0,1,1,0,0,0,0,0,0,0
"936582",0,0,1,0,0,0,0,0,0,0
"938113",1,0,0,1,0,0,0,0,0,0
"938798",0,0,0,0,1,0,0,0,0,0
"938801",1,0,1,0,1,1,1,1,0,0
"939022",1,0,1,0,0,0,0,0,0,0
"939471",0,0,1,0,0,0,0,0,0,0
"939542",0,0,1,0,0,0,0,0,1,0
"941592",0,0,1,0,0,0,0,0,0,0
"941593",0,0,1,0,0,0,0,0,0,0
"941762",0,0,0,0,1,0,0,0,0,0
"941823",0,0,0,0,0,0,0,0,0,1
