"","battle","army","attack","city","puzzle","collect_gather","enemy","dangerous","story","magic"
"611752",1,1,1,1,1,1,1,0,0,0
"708479",0,0,0,0,0,0,1,1,1,0
"998291",1,0,0,0,0,0,0,0,0,1
