"","celebrity_star_idol","luck_chance","career","symbol_icon","casino","athlete_name","challenge","table_playing_area","tournament_competition","puzzle","story","match_link_couple","poker","prize_trophy","las_vegas","pro_professional","hotel_resort","contest_match"
"932273",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"932354",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"936467",0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1
