"","defend","strategy_tactics","attack","move_special_move","compete","tournament_competition","fast","fight","battle","shoot","defeat","collect_gather"
"940560",1,1,1,0,0,0,0,0,0,0,0,0
"943743",0,0,0,1,0,0,0,0,0,0,0,0
"944281",1,0,1,0,1,0,0,0,0,0,0,0
"944734",0,0,0,0,0,1,0,0,0,0,0,0
"944960",0,0,0,1,0,0,1,0,0,0,0,0
"945118",0,1,0,0,0,0,0,0,0,0,0,0
"946384",0,0,0,0,0,0,0,1,0,0,0,0
"947077",0,1,0,0,0,0,1,0,1,1,0,0
"948805",1,1,0,1,0,0,0,0,0,0,0,0
"952615",0,0,0,0,0,0,0,0,0,0,1,0
"953866",1,0,0,0,0,0,0,0,0,0,0,0
"953920",0,0,0,0,0,0,0,0,0,0,0,1
"955263",0,0,0,0,1,0,1,0,0,1,0,0
