"","team_group_crew_squad","collect_gather","singleplayer","compete","multiplayer","online","story","licensed_content_video_games","realistic_accurate","battle","tournament_competition","move_special_move","action","horde_wave_mass","attack","enemy"
"944719",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946757",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"954875",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"955507",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"957980",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"958078",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"959650",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"959887",1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0
"959918",0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"960087",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"960094",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"960095",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"960375",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"971367",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"971423",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"972004",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"978836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
