"","shot_sports","battle","golf","skateboarding","customize","stunt","ski_snow","earn","clear_away","pool_billiards","challenge"
"928262",1,1,1,0,0,0,0,0,0,0,0
"928296",0,0,0,1,1,1,0,0,0,0,0
"928316",0,0,0,0,0,1,1,1,1,0,0
"930852",1,0,1,0,0,0,0,0,0,1,1
