"","online","singleplayer","level_stage","enemy","battle","human_race_mankind","multiplayer","fight","destroy_devastate_wreck","weapon","licensed_content_video_games","dangerous","mystery"
"929921",1,1,1,1,1,1,1,1,1,1,1,0,0
"936124",0,0,1,0,0,0,0,0,0,0,0,1,1
