"","team_group_crew_squad","licensed_content_video_games","war","human_race_mankind","battle","army","evil","enemy","level_stage","city","story","attack","action","weapon","horde_wave_mass","puzzle","adventure","licensed_content_cultural_products","fast"
"935835",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"943385",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"943502",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945048",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"952612",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"954380",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"958390",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959020",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"959341",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"961649",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
