"","level_stage","mystery","solve","explore","rescue","enemy","puzzle","fight","dangerous","the_earth"
"938681",1,1,1,1,0,0,0,0,0,0
"939484",0,0,0,0,1,1,1,0,0,0
"941832",0,0,0,0,0,0,0,1,1,1
