"","rescue","solve","destroy_devastate_wreck","move_special_move","adventure","attack","battle","fight","explore","combat","compete","discover_reveal","licensed_content_cultural_products","mission","defend","collect_gather"
"939462",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"942937",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"943679",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943806",1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"944924",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"945905",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"946788",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"952337",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"952370",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"952373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"955120",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"956191",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"958890",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"958956",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
"959216",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"959272",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"960116",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"960216",0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
"960443",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"978268",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
