"","dictator","monster","power_control_rule","story","fight","justice","god_deity","rescue","special_powers","demon_devil","kingdom","people","rebel","time","the_earth","past","laboratory","eccentric","conspiracy","equipment","destiny","japan","chaos","crazy_wacky","time_travel","machine","mystery","alternate_dimension_reality","family","disappear","navigate"
"620232",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"657807",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"826388",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
