"","team_group_crew_squad","bike_motorbike","contest_match","hero","career","racetrack","licensed_tournament","ride","tournament_competition","licensed","destination_finish_line","athlete","car","crowd_audience_spectators","race","obstacle","enemy","frantic","vehicle","chaos","spin_rotate","fire_flame","bomb","food","powerup_pickup","classic","crazy_wacky","arcade","gun"
"739660",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799987",0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"872798",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"887306",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
