"","epic","creature","fast","change_transform_evolve","action","special_powers","warrior","enemy","licensed_content_cultural_products","boy_man","story","monster"
"516505",1,1,1,1,1,1,1,1,0,0,0,0
"926982",0,1,0,0,0,0,0,0,1,1,1,1
