"","quest","explore","story","bird","mystery","domesticated_land_animal","licensed_content_cultural_products","action","boat","truth","puzzle","adventure","treasure","collect_gather","criminal","defeat","discover_reveal","investigate","smart_clever_wit","comedy_humor_funny","team_group_crew_squad","clue","kill","mini_game","crazy_wacky","solve","search","global_international_around_the_world","catastrophe_disaster","family","threat"
"630328",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632836",1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"638951",0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"958041",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
