"","compete","licensed_content_video_games","team_group_crew_squad","online","multiplayer","licensed_content_cultural_products","singleplayer","city","battle","move_special_move","tournament_competition"
"932935",1,1,1,1,0,0,0,0,0,0,0
"935834",0,1,0,0,1,0,0,0,0,0,0
"937722",0,0,0,0,0,1,0,0,0,0,0
"937889",0,0,0,1,1,0,1,1,0,0,0
"938140",0,1,0,0,1,0,0,0,0,0,0
"938735",1,0,0,0,1,0,0,0,1,1,0
"938870",0,0,0,1,1,0,0,0,0,0,0
"939093",0,1,0,0,0,0,0,0,0,0,0
"942056",0,1,0,1,0,0,0,0,0,0,0
"942807",0,0,0,0,1,0,0,0,0,0,1
"942926",1,0,0,0,0,1,0,0,0,0,0
