"","stop","brutal_violent_cruel","movie_film","elite_the_best","discover_reveal","police","explore","licensed_content_video_games","outer_space","soldier","story","truth","human_race_mankind","remote_isolated_undiscovered","role_playing","rescue","open_world_sandbox","demon_devil","the_earth","quest","restore","kingdom","destroy_devastate_wreck"
"930279",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"934605",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
