"","battle","online","adventure","multiplayer","fast","fight","licensed_content_cultural_products","race","licensed_content_video_games","compete","singleplayer","level_stage","action"
"933014",1,1,1,1,0,0,0,0,0,0,0,0,0
"935577",0,0,0,1,0,0,0,0,0,0,0,0,0
"938257",0,0,0,0,1,1,0,0,0,0,0,0,0
"944280",0,0,0,1,0,0,0,0,0,0,0,0,0
"945456",0,1,0,0,0,0,1,0,0,0,0,0,0
"946573",0,0,0,1,0,0,0,1,0,0,0,0,0
"950764",0,0,0,1,0,0,0,0,1,0,0,0,0
"950956",1,0,0,0,0,0,0,0,0,1,0,0,0
"951587",0,0,1,1,0,0,0,0,0,0,1,1,0
"952362",0,0,0,0,0,0,1,0,0,1,0,0,1
"954046",0,0,0,1,1,0,0,0,1,0,0,0,0
