"","battle","explore","defeat","fast","adventure","rescue","combat","discover_reveal","shoot","mission","fight","defend","destroy_devastate_wreck","strategy_tactics"
"649257",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"671773",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"684759",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"702770",1,0,0,0,1,1,0,0,0,0,0,0,0,0
"703417",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"706838",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"707100",0,0,0,0,0,1,1,1,1,0,0,0,0,0
"710741",0,1,0,0,0,0,0,0,1,0,0,0,0,0
"710758",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"711382",0,0,0,0,1,1,0,0,0,0,1,0,0,0
"711454",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"715085",1,0,0,0,0,0,0,0,0,0,1,1,0,0
"717907",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"722615",0,1,0,0,0,0,0,1,0,0,0,1,0,0
"722909",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"958900",1,0,0,0,0,1,0,1,0,0,0,0,0,0
"976757",0,1,0,0,0,0,0,0,0,0,0,0,0,1
