"","team_group_crew_squad","defend","tournament_competition","city","hero","realistic_accurate","fight","epic","compete","enemy","fast","strategy_tactics","licensed_content_video_games","story","action","licensed_content_cultural_products","dangerous"
"940560",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941947",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943743",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"944146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"944281",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"944734",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"945118",1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"945190",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"945505",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"945802",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"945921",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"946384",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946395",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"946535",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"946583",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946760",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"947077",1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"948805",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"948807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"951177",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"953866",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"953920",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
