"","wall","gore_grotesque_foul","enemy","object","kill","magic","dark_black_grim","army","weapon","underground","hero","armor","tower","remote_isolated_undiscovered","famous","the_earth","story","vehicle","team_group_crew_squad","comic_book","destiny","licensed_content_cultural_products","epic","outer_space","adventure","alien","planet","city","mystery","family","licensed_content_video_games","warrior"
"932329",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"932621",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
