"","destroy_devastate_wreck","move_special_move","combat","attack","magic","fast","battle","explore","strategy_tactics","shoot","defeat","fight","mission","rescue","solve","collect_gather","compete"
"929267",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942778",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"943440",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"945131",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"946343",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"946769",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"952638",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"953918",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"954492",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"957018",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"957933",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"957955",0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"960321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"960849",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
"960919",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"980381",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
