"","future","invasion","mystery","family","home","ghost","girl_woman","special_powers","global_international_around_the_world","challenge","wilderness_nature","music"
"672897",1,1,1,1,1,0,0,0,0,0,0,0
"673021",0,0,0,0,0,1,1,1,1,1,0,0
"737345",0,0,0,0,0,0,0,0,0,0,1,1
