"","equipment","realistic_accurate","body","fly","thrill_excitement_rush","stunt","move_special_move","aerial","action","hostile_aggressive","hit_strike_blow"
"628132",1,1,1,1,1,1,1,1,0,0,0
"800883",0,1,0,0,0,0,0,0,1,1,1
