"","licensed_content_cultural_products","explore","multiplayer","enemy","move_special_move","fast","combat","action","fight","attack","weapon","strategy_tactics","licensed_content_video_games","singleplayer","level_stage","destroy_devastate_wreck","shoot","army","online"
"948798",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950930",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"954367",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958442",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"959016",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"959070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"959332",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"960592",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"960656",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"971403",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"975173",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
