"","explore","story","mystery","licensed_content_cultural_products","action","puzzle","adventure","collect_gather","defeat","discover_reveal","team_group_crew_squad","solve"
"630328",1,1,1,0,0,0,0,0,0,0,0,0
"632836",0,0,1,1,1,1,1,1,1,1,0,0
"638951",0,1,0,0,1,0,0,1,0,1,1,1
"958041",0,0,0,0,0,1,0,0,0,1,0,0
