"","navigate","wilderness_nature","obstacle","survive","rescue","adventure","dinosaur","vampire","army","smart_clever_wit","demon_devil","shoot","fight","police","band_music_group","dream","zombie","underwater_animal","insane_deranged","robot","crazy_wacky","story","magic","soul","comedy_humor_funny","puzzle","emo","world"
"628141",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"647153",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
