"","king","wall","loyalty_duty","palace","gore_grotesque_foul","enemy","innocent","barrel_crate","corrupt","forest","object","kill","magic","village","dark_black_grim","army","weapon","underground","hero","torture","armor","tower","remote_isolated_undiscovered","famous","the_earth","story","vehicle","team_group_crew_squad","comic_book","destiny","licensed_content_cultural_products","epic","outer_space","adventure","class_breed_race","alien","siege","planet","city","mystery","family","student","licensed_content_video_games","warrior"
"932329",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"932621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
