"","hero","girl_woman","army","power_control_rule","enemy","history","japan","turn_alternate","famous","myth_legend","city","evil","dark_black_grim","death","school","mystery","attack","company_business_corporation","ghost","wild_land_animal","worlds_realm_land_world","playing_cards","dangerous","demon_devil","magic","rebel","war","empire","monster"
"696378",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"730638",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"784567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"814418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
