"","action","tournament_competition","dangerous","fast","realistic_accurate","destroy_devastate_wreck","team_group_crew_squad","licensed_content_video_games","enemy","weapon","level_stage","licensed_content_cultural_products"
"931589",1,0,0,0,0,0,0,0,0,0,0,0
"932101",1,1,1,0,0,0,0,0,0,0,0,0
"932810",0,0,0,1,1,1,0,0,0,0,0,0
"933035",0,0,0,0,0,0,1,1,0,0,0,0
"934329",0,0,0,0,0,1,0,0,0,0,0,0
"937016",0,0,0,0,0,0,0,0,1,1,0,0
"937632",0,0,0,0,0,0,0,1,0,0,0,0
"938636",0,1,0,0,1,0,0,0,0,0,0,0
"941689",0,0,0,1,0,0,0,1,1,0,0,0
"942032",0,1,0,0,0,0,0,0,0,0,1,0
"943309",1,0,0,0,0,0,0,0,0,0,0,1
"943627",1,0,0,0,0,0,0,0,1,1,0,0
"944160",0,0,0,0,0,0,0,0,0,1,1,0
