"","combat","mission","defend","compete","collect_gather","strategy_tactics","discover_reveal","explore","solve","battle","rescue","defeat","adventure","fight","move_special_move"
"605452",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"606312",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"610924",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"617221",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"618630",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"624508",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"629692",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"630113",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"631680",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"960829",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"988967",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"991492",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"997430",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
