"","story","bird","mystery","domesticated_land_animal","licensed_content_cultural_products","smart_clever_wit","action","boat","truth","puzzle","adventure","treasure","collect_gather","criminal","comedy_humor_funny","team_group_crew_squad","clue","kill","crazy_wacky","global_international_around_the_world","catastrophe_disaster","family","threat","europe","licensed_content_video_games"
"630328",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632836",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"638951",1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"958041",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
