"","change_transform_evolve","travel","eliminate","alliance","reunite","journey","decide_choose","explore","discover_reveal"
"672897",1,1,1,1,1,1,0,0,0
"673021",0,1,0,0,0,0,1,0,0
"737345",0,0,0,0,0,0,0,1,1
