"","collect_gather","animal","manage","adventure","plane","treasure","resources","crash","win","time","company_business_corporation","rescue","money","realistic_accurate","find","sea_ocean","city","terrain","bird","creature","escape","exotic","ride","magic","god_deity","worlds_realm_land_world","wild_land_animal","wilderness_nature"
"944747",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954130",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"960313",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
