"","battle","action","rescue","evil","enemy","army","attack","dangerous","fast","mission","solve","war","story","adventure","human_race_mankind","fight","shoot","defend","destroy_devastate_wreck"
"666759",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"710975",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"724307",0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"730635",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"730869",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"734622",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"766676",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"789217",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"809364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"889956",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
