"","move_special_move","train_practice","steal_theft","mini_game","battle","fight","perform_entertain","basketball","american_football","run_dash_sprint","defeat","defend","soccer","smart_clever_wit","win","reflex","agile_athletic","skill_technique","hit_strike_blow","avoid","crash"
"949453",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955340",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958702",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"958704",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"959013",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"959188",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"959291",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"959972",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
"960358",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960428",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
