"","hero","girl_woman","army","power_control_rule","enemy","history","japan","turn_alternate","famous","myth_legend","city","evil","student","dark_black_grim","tokyo","manager_ceo_boss","death","school","life","mystery","attack","company_business_corporation","ghost","wild_land_animal","worlds_realm_land_world","playing_cards","dangerous","clan","demon_devil","orc_troll","magic","rebel","war","empire","wizard","monster","holy_sacred"
"696378",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"730638",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"784567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"814418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
