"","team_group_crew_squad","bike_motorbike","stunt","fight","race","contest_match","hero","career","jump","racetrack","drive","tournament_competition","licensed","destination_finish_line","destroy_devastate_wreck","car","crowd_audience_spectators","strategy_tactics","explode_blast","obstacle","enemy","chase_pursue","frantic","vehicle","fast","hunt","chaos","spin_rotate","fire_flame","combat","avoid","bomb","food","powerup_pickup","classic","crazy_wacky","compete","arcade","gun"
"739660",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799987",0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"872798",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"887306",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
