"","battle","combat","fight","attack","defend","destroy_devastate_wreck","adventure","strategy_tactics","rescue","shoot","mission","defeat","solve"
"928301",1,0,0,0,0,0,0,0,0,0,0,0,0
"932615",1,1,0,0,0,0,0,0,0,0,0,0,0
"937407",0,0,1,0,0,0,0,0,0,0,0,0,0
"938611",0,0,0,1,1,0,0,0,0,0,0,0,0
"941651",1,0,0,0,0,1,0,0,0,0,0,0,0
"943279",0,0,0,0,0,0,1,0,0,0,0,0,0
"943282",0,0,0,0,0,0,0,1,0,0,0,0,0
"943339",0,0,1,0,0,0,0,1,1,0,0,0,0
"943401",0,0,0,0,0,0,0,0,0,1,0,0,0
"944073",0,0,0,0,0,0,0,0,1,0,0,0,0
"944198",1,1,0,0,0,0,0,1,0,0,1,0,0
"944401",0,0,1,0,0,0,0,1,0,0,1,0,0
"944521",1,1,1,0,1,0,0,0,0,0,0,0,0
"944795",0,0,1,0,1,0,0,0,0,0,0,1,0
"945399",1,0,1,1,0,1,0,0,1,0,0,0,0
"950901",0,0,0,0,0,0,0,1,0,0,0,0,0
"950903",0,0,0,0,0,0,0,0,0,0,0,0,1
"950927",0,1,0,0,0,0,0,0,0,0,0,0,0
