"","tournament_competition","realistic_accurate","licensed_content_video_games","multiplayer","defeat","enemy","online","fight","fast","move_special_move","destroy_devastate_wreck","collect_gather","weapon","story","compete","strategy_tactics","race","battle","explore","shoot","dangerous","mission"
"928289",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929261",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930863",0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932128",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932239",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"932465",1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
"932715",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"932938",1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"932993",1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"933860",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"933868",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"936838",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
