"","american_football","aim","throw","attack","basketball","contest_match","train_practice","mini_game","compete","strategy_tactics","skill_technique","formation","soccer","defend","conquer","manage","shot_sports","exercise_fitness","decide_choose","hockey"
"927449",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928263",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"928333",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"928412",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"928463",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
