"","pirate","level_stage","myth_legend","mystery","treasure","boat","trap","x3d","princess","classic","enemy","puzzle"
"938681",1,1,1,1,1,1,0,0,0,0,0,0
"939484",0,0,0,0,0,0,1,1,1,1,1,1
