"","free_roaming","x3d","trick","avoid","move_special_move","find","pop_burst","virtual_reality","teaching","collect_gather","ride","pet_animal","create_design","instructions","bubble","communication","interact","realistic_accurate","kids","home","all_ages","licensed_content_video_games","stable","domesticated_land_animal","social","criminal","solve","care_for_raise","perform_entertain","story","evil","city","explore","villain","girl_woman","boy_man","customize","playground","encounter","puzzle","alone","party_celebrate","romance_love","adventure","cute","wild_land_animal","remote_isolated_undiscovered","friend","challenge","baby","island"
"610892",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"626625",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632708",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"639173",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
