"","discover_reveal","adventure","travel","journey","explore","place_position","navigate","power_control_rule","manipulate","collect_gather"
"682786",1,1,0,0,0,0,0,0,0,0
"718933",1,0,1,1,1,0,0,0,0,0
"975243",0,0,0,0,0,1,1,1,1,1
