"","fast","licensed_content_video_games","team_group_crew_squad","tournament_competition","move_special_move","realistic_accurate","enemy","strategy_tactics","action","compete","magic","destroy_devastate_wreck","adventure"
"939464",1,1,0,0,0,0,0,0,0,0,0,0,0
"944026",0,0,1,0,0,0,0,0,0,0,0,0,0
"971262",0,0,0,1,1,0,0,0,0,0,0,0,0
"985985",0,0,1,1,0,1,1,0,0,0,0,0,0
"988954",0,0,0,0,0,1,0,1,0,0,0,0,0
"988956",0,0,0,0,0,1,0,0,0,0,0,0,0
"991045",0,0,1,1,0,0,0,0,1,0,0,0,0
"991753",0,0,1,1,0,0,1,0,1,0,0,0,0
"995950",0,0,0,0,0,1,0,0,0,0,0,0,0
"997301",0,0,0,1,0,0,0,0,0,0,0,0,0
"999086",1,0,1,0,0,0,0,0,0,1,1,1,1
