"","puzzle","physics","arcade","reptile","ball","ghost","challenge","wild_land_animal","fast","tropic","powerup_pickup","enemy","level_stage","action","animal"
"611772",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"674104",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
