"","ghost","hero","domesticated_land_animal","challenge","tournament_competition","survive","robot","kill","the_earth","technology","contest_match","dark_black_grim","level_stage","physics","gravity","puzzle","light_illuminate","wall","family","magic","history","x2d","girl_woman","x3d","friend","outer_space","epic","licensed_content_cultural_products","sword"
"690817",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708705",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"716879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0
"723514",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
