"","adventure","level_stage","story","solve","destroy_devastate_wreck","explore","puzzle","combat","horde_wave_mass","dangerous","evil","weapon","enemy","mystery","war","discover_reveal","the_earth","defeat","rescue","battle","mission"
"935585",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942122",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"942723",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"943006",0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"945612",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"946376",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"949115",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"950966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"952841",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955027",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
