"","monster","power_control_rule","story","fight","god_deity","rescue","special_powers","demon_devil","kingdom","rebel","time","the_earth","conspiracy","equipment","destiny","japan","chaos","crazy_wacky","machine","mystery","family","navigate"
"620232",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"657807",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"826388",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
