"","hero","battle","army","strategy_tactics","enemy","fight","city","evil","mystery","attack","defeat","online","licensed_content_video_games","dangerous","collect_gather","multiplayer","magic","war"
"696378",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"730638",0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"784567",0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"814418",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
