"","create_design","hunt","collect_gather","build_construct","discover_reveal","mini_game","capture","skill_technique","fast","explore","investigate","food","train_practice","manage","learn"
"933195",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"942721",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"943658",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"944916",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"944948",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"946126",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"946177",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"946320",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"950917",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"954040",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
