"","battle","fly","combat","move_special_move","chase_pursue","fast","fight","land_touchdown","mission","bomb","defend"
"632821",1,1,1,0,0,0,0,0,0,0,0
"632964",0,0,1,1,1,1,1,0,0,0,0
"651837",0,1,1,0,0,0,1,1,1,1,0
"672361",0,0,0,0,0,0,1,0,1,1,1
