"","puzzle","physics","fast","combo","arcade","reptile","ball","ghost","challenge","wild_land_animal","enemy","battle","survive","powerup_pickup","level_stage","compete","explode_blast","action","animal"
"611772",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"674104",0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
