"","decide_choose","plant_vegetation","social","paradise","pinata","creature","all_ages","kids","equipment","drama","mission","health","knife","licensed_content_video_games"
"932328",1,1,1,1,1,1,1,1,0,0,0,0,0,0
"933018",0,0,0,0,0,0,0,0,1,1,1,1,1,1
