"","dictator","role_playing","monster","power_control_rule","story","fight","strategy_tactics","justice","god_deity","rescue","special_powers","demon_devil","anger_fury_rage","kingdom","spain","nobility_lord_count_baron","people","empire","rebel","time","the_earth","past","laboratory","eccentric","conspiracy","student","japan","equipment","destiny","chaos","crazy_wacky","time_travel","machine","mystery","alternate_dimension_reality","family","disappear","visual","hero","navigate"
"620232",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"657807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"826388",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
