"","playing_cards","licensed_content_video_games","hunt","dangerous","story","enemy","deception_trickery","online","monk_priest_devotee","soldier","multiplayer","turn_alternate","warrior","ghost","magic","eccentric","skeleton_skull","scary_terrifying_horror","samurai","heaven","capture","animal","battle","strategy_tactics","lush"
"708479",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998291",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
