"","celebrity_star_idol","career","challenge","tournament_competition","puzzle","story","match_link_couple","compete","win","contest_match"
"932273",1,1,1,1,1,0,0,0,0,0
"932354",0,0,0,1,0,1,1,0,0,0
"936467",0,0,0,1,0,1,0,1,1,1
