"","attack","battle","fight","shoot","fast","collect_gather","defend","destroy_devastate_wreck","move_special_move","combat","mission","rescue","defeat","compete","adventure","strategy_tactics"
"605304",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"610678",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"625782",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"633221",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"633402",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"637316",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"643391",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"647140",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"660048",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"662532",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"662533",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"663926",0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
"670460",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670856",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"689646",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"960456",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"997652",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998091",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
