"","move_special_move","fight","fast","survive","combat","race","compete","win","swing","golf","stunt","combo","martial_arts","perform_entertain","shot_sports","strategy_tactics","attack"
"606290",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615810",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"632147",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"632378",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"639691",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"645152",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"652995",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"663204",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"672341",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"676300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"679855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
